"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Job Page","Checkbox","Job Page Smoke Test","0","0","3","0","0"
"Job Page","Filter","Job Page Smoke Test","0","0","5","0","0"
"Login Page","Login","Login Page Smoke Test","0","0","3","0","0"
"Login Page","Google","Login Page Smoke Test","0","0","1","0","0"
"Login Page","Email","Login Page Smoke Test","0","0","3","0","0"
"Job Page","MSIB","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Easy Apply","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Main","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Pagination","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Auto Complete","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Input","Job Page Smoke Test","0","0","1","0","0"
"Login Page","Password","Login Page Smoke Test","0","0","2","0","0"
"","","","0","0","3","0","0"
"Job Page","Job Card","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Carousel","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Sort","Job Page Smoke Test","0","0","1","0","0"
